time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/explained_variance,train/std,train/n_updates,train/policy_objective,train/value_loss
2162,436.83,502,1388.17151789,1028096,475,0.001,0.009898191317915916,1.0,0.9990022648125887,0.22494803369045258,501,0.06602182239294052,2.280789129808545
2167,440.53,503,1397.5378316600002,1030144,475,0.001,0.009231158532202244,1.0,0.9992150207981467,0.22433094680309296,502,0.10426541417837143,1.2080911684781312
2172,439.3,504,1394.0628593600004,1032192,475,0.001,0.006471203174442053,1.0,0.9955068621784449,0.22479857504367828,503,0.04650002717971802,0.7478465553373098
2176,439.25,505,1392.4659368799996,1034240,475,0.001,0.009598451666533947,1.0,0.9986939827213064,0.22441573441028595,504,0.05788763612508774,1.751892213895917
2180,435.53,506,1380.00868794,1036288,475,0.001,0.009966048412024975,1.0,0.9987052426440641,0.22408811748027802,505,0.05537020042538643,1.0365496337413789
2185,425.52,507,1352.6859878599998,1038336,475,0.001,0.00958090741187334,1.0,0.998357932199724,0.22342604398727417,506,0.11338801681995392,2.5000613696873186
2189,427.41,508,1358.56139263,1040384,475,0.001,0.009783475659787655,1.0,0.9978088182397187,0.22257471084594727,507,0.06624367088079453,4.307113675773143
2194,430.35,509,1367.97157984,1042432,475,0.001,0.009535110555589199,1.0,0.9976899023167789,0.2225179523229599,508,0.09132802486419678,1.2098763974383473
2197,431.89,510,1375.0347695100002,1044480,475,0.001,0.006539201829582453,1.0,0.9964860561303794,0.22232967615127563,509,0.04921136051416397,0.5339928220957517
2202,430.98,511,1374.2561646699999,1046528,475,0.001,0.00983146857470274,1.0,0.9988152558216825,0.22188417613506317,510,0.07937512546777725,2.757633973285556
2207,433.49,512,1381.7025642099998,1048576,475,0.001,0.009776456281542778,1.0,0.9992996165528893,0.22158586978912354,511,0.06149464100599289,0.7181643029674888
2211,441.65,513,1406.4362967700001,1050624,475,0.001,0.00979823712259531,1.0,0.9981945672770962,0.21978284418582916,512,0.07079380750656128,0.35096419882029295
2214,436.35,514,1391.6191860000001,1052672,475,0.001,0.00657368078827858,1.0,0.9986618718830869,0.21999680995941162,513,0.16029424965381622,0.9445409215986729
2219,435.14,515,1388.14538177,1054720,475,0.001,0.006472665350884199,1.0,0.9981810566969216,0.22001051902770996,514,0.03284712880849838,2.450955266878009
2222,434.54,516,1388.2459823300003,1056768,475,0.001,0.009412876330316067,1.0,0.9991782676661387,0.21980804204940796,515,0.06659882515668869,1.31997215077281
2227,436.74,517,1393.42796036,1058816,475,0.001,0.009725126437842846,1.0,0.998469942365773,0.21944648027420044,516,0.06721726059913635,1.3802082676440477
2230,438.16,518,1398.14903397,1060864,475,0.001,0.006614711135625839,1.0,0.9987611431861296,0.2188553363084793,517,0.039536286145448685,1.4769946195185184
2236,439.07,519,1400.58068355,1062912,475,0.001,0.009540912695229053,1.0,0.9981304131215438,0.21903423964977264,518,0.058888114988803864,2.3960235223174093
2239,435.99,520,1393.97436264,1064960,475,0.001,0.009678673930466175,1.0,0.9990710721467622,0.21791832149028778,519,0.05539802089333534,0.8270794758573174
2244,442.83,521,1416.2662379199996,1067008,475,0.001,0.006511774379760027,1.0,0.9987825026037171,0.21835148334503174,520,0.06798506528139114,1.76284524127841
2247,439.12,522,1404.0473444,1069056,475,0.001,0.009694189764559269,1.0,0.9988090174738318,0.21781419217586517,521,0.05411991477012634,1.7717616375535727
2252,442.8,523,1413.79178038,1071104,475,0.001,0.008977173827588558,1.0,0.9982939659385011,0.21769024431705475,522,0.049360230565071106,3.0801964558660986
2255,442.96,524,1415.1718724000002,1073152,475,0.001,0.009432047605514526,1.0,0.9920809203758836,0.21812228858470917,523,0.10531459003686905,1.6071673836559057
2260,442.2,525,1413.2082286900002,1075200,475,0.001,0.00975631084293127,1.0,0.9985192102612928,0.21772456169128418,524,0.058998800814151764,2.5828047581017017
2263,442.57,526,1414.98907127,1077248,475,0.001,0.009921705350279808,1.0,0.9981319711077958,0.2164572924375534,525,0.06241333857178688,2.089298378303647
2268,441.42,527,1412.51224804,1079296,475,0.001,0.009606747888028622,1.0,0.9986951196333393,0.2162415236234665,526,0.14392466843128204,0.5873357116244733
2271,448.11,528,1432.0483397600003,1081344,476,0.001,0.009285535663366318,1.0,0.9989452194422483,0.21604549884796143,527,0.07772353291511536,0.7364663902670145
2276,455.01,529,1452.2650755500001,1083392,475,0.001,0.006537529174238443,1.0,0.9986324213678017,0.2159629613161087,528,0.05952158942818642,0.7937134029343724
2279,456.12,530,1453.7191267600003,1085440,476,0.001,0.009951716288924217,1.0,0.9984516480471939,0.2167176753282547,529,0.06639289110898972,1.3166336636990308
2284,454.75,531,1451.64274576,1087488,476,0.001,0.00962893571704626,1.0,0.9988443180918694,0.21689660847187042,530,0.06691530346870422,0.7754599502310157
2287,454.34,532,1451.3748745300002,1089536,476,0.001,0.009377546608448029,1.0,0.9992372206179425,0.2167641669511795,531,0.055271249264478683,1.176802782714367
2292,454.93,533,1452.20704553,1091584,476,0.001,0.0064523727633059025,1.0,0.999312142143026,0.2169097512960434,532,0.05063631758093834,2.7287913512438537
2295,449.9,534,1436.96436013,1093632,476,0.001,0.009910679422318935,1.0,0.9989206617465243,0.21681004762649536,533,0.056285858154296875,1.730745106935501
2301,447.54,535,1431.3514483299996,1095680,476,0.001,0.009878672659397125,1.0,0.9986134332139045,0.21566468477249146,534,0.04669909179210663,1.9434000838547945
