time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/policy_objective,train/kl_divergence_loss,train/learning_rate,train/explained_variance,train/is_line_search_success,train/std,train/n_updates,train/value_loss
482,280576,225.73,581,137,722.89726642,0.06635256111621857,0.007186103146523237,0.001,0.9937636251561344,1.0,0.4540756642818451,136,19.650316375494004
485,282624,226.12,582,138,720.66199289,0.057716138660907745,0.007358903530985117,0.001,0.9925825223326683,1.0,0.4503982365131378,137,18.359178349375725
488,284672,224.68,582,139,715.6450955299999,0.06505712121725082,0.008447222411632538,0.001,0.9948508604429662,1.0,0.4458743631839752,138,14.456854891777038
493,286720,223.25,581,140,708.46931311,0.08684435486793518,0.008309203200042248,0.001,0.9925361131317914,1.0,0.447226881980896,139,23.028106477856635
496,288768,223.58,581,141,706.6356218999999,0.0733620673418045,0.008922225795686245,0.001,0.9950234214775264,1.0,0.447569340467453,140,13.250053185224534
500,290816,223.52,581,142,705.83597033,0.07168086618185043,0.008267982862889767,0.001,0.9936644299887121,1.0,0.4511490762233734,141,13.217174023389816
503,292864,218.42,581,143,682.4574210400001,0.0810476541519165,0.009180446155369282,0.001,0.9957604189403355,1.0,0.44671300053596497,142,9.314630874991417
507,294912,218.99,581,144,684.1603073,0.05183792859315872,0.006350752431899309,0.001,0.9641316682100296,1.0,0.4474972188472748,143,62.40042951107025
511,296960,219.52,581,145,687.3616409899998,0.06987008452415466,0.008504056371748447,0.001,0.9934152592904866,1.0,0.4479987323284149,144,15.881058830022813
514,299008,217.52,580,146,677.7400127799999,0.08444932103157043,0.008064632304012775,0.001,0.9953826074488461,1.0,0.4424126446247101,145,13.5574966609478
517,301056,216.97,581,147,673.75258879,0.047650109976530075,0.009025759063661098,0.001,0.9836516417562962,1.0,0.43885478377342224,146,38.71357930600643
521,303104,217.12,581,148,676.9860903299999,0.07074197381734848,0.007922857999801636,0.001,0.9960979572497308,1.0,0.4465451240539551,147,12.371645766496659
525,305152,218.11,580,149,678.13114078,0.07753799110651016,0.008038059808313847,0.001,0.9965935356449336,1.0,0.4436328411102295,148,11.680948166549205
529,307200,218.8,580,150,679.57422475,0.07180643081665039,0.008328269235789776,0.001,0.9933894001878798,1.0,0.44383367896080017,149,15.599826782941818
532,309248,219.83,580,151,684.50920595,0.060245782136917114,0.00832359492778778,0.001,0.9959667385555804,1.0,0.43427881598472595,150,10.94702419936657
536,311296,217.82,580,152,677.7090766900001,0.06425069272518158,0.006503967568278313,0.001,0.9955997546203434,1.0,0.43460097908973694,151,12.759873467683793
540,313344,216.22,579,153,672.1517349700001,0.15407231450080872,0.008450528606772423,0.001,0.9957218230701983,1.0,0.4363575279712677,152,10.740732684731483
545,315392,216.67,578,154,676.93843275,0.07161325216293335,0.008495110087096691,0.001,0.9952674144878983,1.0,0.43654730916023254,153,10.266561996936797
548,317440,218.14,578,155,682.8323738600001,0.09672817587852478,0.008554604835808277,0.001,0.9970211323816329,1.0,0.43352165818214417,154,8.306656864285468
552,319488,219.14,578,156,688.7313926299998,0.06787801533937454,0.00902622565627098,0.001,0.995202629826963,1.0,0.4313117265701294,155,11.505955800414085
555,321536,219.0,578,157,687.7183857899998,0.07185962796211243,0.007685031741857529,0.001,0.9974322731141001,1.0,0.4266700744628906,156,6.514917893707752
559,323584,219.45,578,158,691.6811501699998,0.06945595890283585,0.007449535187333822,0.001,0.997300980379805,1.0,0.4225217401981354,157,7.266480249166489
562,325632,220.18,578,159,691.3420933999998,0.0797155499458313,0.008466052822768688,0.001,0.9950419026426971,1.0,0.42557719349861145,158,10.573894900083541
565,327680,220.69,579,160,694.5024505799997,0.08714516460895538,0.00818091630935669,0.001,0.9956001755781472,1.0,0.4233475625514984,159,10.425952127575874
569,329728,221.98,578,161,700.48784065,0.07533018290996552,0.00835400354117155,0.001,0.9959446587599814,1.0,0.4164474904537201,160,10.419952434301376
572,331776,222.97,579,162,706.6575511300001,0.08587872236967087,0.007872093468904495,0.001,0.9936504741199315,1.0,0.42078423500061035,161,11.222636391222476
577,333824,225.31,577,163,715.3068167500002,0.06695422530174255,0.008341538719832897,0.001,0.9954249686561525,1.0,0.4170094430446625,162,11.093977124989033
581,335872,229.29,577,164,728.0054952,0.07545372098684311,0.008608801290392876,0.001,0.9958556434139609,1.0,0.4139293134212494,163,7.562019070982933
585,337920,231.99,577,165,737.66180329,0.06655337661504745,0.008673797361552715,0.001,0.9956436743959785,1.0,0.41102612018585205,164,7.8100141659379005
588,339968,232.6,577,166,743.6104515500001,0.09347036480903625,0.009186415933072567,0.001,0.9960412411019206,1.0,0.41356727480888367,165,8.357474790513516
592,342016,235.5,576,167,753.8948644300002,0.09085749834775925,0.008486146107316017,0.001,0.9956116955727339,1.0,0.41194021701812744,166,10.068655022978783
596,344064,235.96,576,168,759.01313704,0.07755659520626068,0.008591284975409508,0.001,0.9945812914520502,1.0,0.40688642859458923,167,9.883835764229298
600,346112,237.14,576,169,763.6210626200002,0.0674293264746666,0.008650603704154491,0.001,0.9960022135637701,1.0,0.4054287374019623,168,10.064133921265602
603,348160,236.42,576,170,763.9597527599998,0.07576923817396164,0.008231029845774174,0.001,0.9951942642219365,1.0,0.40070438385009766,169,12.589341345429421
606,350208,237.14,577,171,770.57920327,0.06824449449777603,0.008253154344856739,0.001,0.9952500448562205,1.0,0.40111222863197327,170,14.179932820796967
610,352256,238.66,577,172,778.0434028499999,0.11681347340345383,0.008735502138733864,0.001,0.9911608416587114,1.0,0.40218865871429443,171,18.08339067697525
613,354304,238.88,577,173,781.9273803600001,0.07055093348026276,0.00831699464470148,0.001,0.9939554329030216,1.0,0.3975868225097656,172,10.010272471606731
616,356352,239.64,577,174,787.2228627899999,0.09369222074747086,0.009409338235855103,0.001,0.9933240911923349,1.0,0.3994102478027344,173,11.216888715326785
619,358400,237.86,578,175,786.43822812,0.08524883538484573,0.008747776038944721,0.001,0.9920545872300863,1.0,0.4003603756427765,174,17.153649869561196
622,360448,239.93,578,176,796.3349772500001,0.07674576342105865,0.008888627402484417,0.001,0.9922450920566916,1.0,0.4012738764286041,175,20.766477277874948
626,362496,242.48,579,177,806.8529962300001,0.07422375679016113,0.00901277456432581,0.001,0.9924905803054571,1.0,0.3970755338668823,176,13.89104105234146
629,364544,246.55,578,178,820.4103458200001,0.058528680354356766,0.00948267336934805,0.001,0.9940826809033751,1.0,0.3970705568790436,177,14.41983321607113
633,366592,248.45,578,179,827.5393739700002,0.056796230375766754,0.008351258933544159,0.001,0.9858884392306209,1.0,0.3948802947998047,178,12.179906709492206
636,368640,252.28,579,180,841.6185477,0.05323084443807602,0.007846740074455738,0.001,0.9751728437840939,1.0,0.39189088344573975,179,35.990971747040746
639,370688,255.6,579,181,856.38257767,0.08727598190307617,0.009806753136217594,0.001,0.991795914247632,1.0,0.39130106568336487,180,16.14819208085537
